sequenceID	description	ratio	std	df	tval	pval	seqnames	start	end	width	strand	wormbaseID	publicID	entrezID
B0513.3	48971 Protein with high similarity to 60S ribosomal protein L29 (S. pombe Rpl29p), which binds RNA, member of the ribosomal L29e family, which are part of the large ribosomal subunit B0513.3	0.237	0.17768448	20	1.333730584	0.197	chrIV	13882225	13882618	394	+	WBGene00004443	rpl-29	178352
Y39A3B.4	48957 Protein with unknown function Y39A3B.4	0.237	0.172427809	19	1.373647928	0.186	chrIII	1980823	1982647	1825	-	WBGene00005143	srd-66	191824
B0024.8	23248 Putative ortholog of C. elegans B0024.5 gene product B0024.8	0.237	0.260865772	19	0.907728278	0.375	chrV	10299473	10307354	7882	-	WBGene00000491	che-12	179433
K10B3.1	31592 Protein of unknown function, has weak similarity to C. elegans C01F6.9 K10B3.1	0.237	0.104272383	20	2.270734449	0.034	chrX	3135486	3136663	1178	+	WBGene00019609		187247
C08H9.6	20891 Member of the glycosyl hydrolase 18 family, has weak similarity to chitinase 3-like 1 (cartilage glycoprotein-39, human CHI3L1), which binds chitin but does not have chitinase activity and is expressed in rheumatoid arthritis cartilage and synovial cells C08H9.6	0.237	0.205231651	26	1.153639539	0.259	chrII	9873249	9874521	1273	-	WBGene00007466	chil-2	182431
Y75B8A.17	51488	0.237	0.271723792	20	0.871325425	0.394	chrIII	12223716	12225337	1622	-	WBGene00013552	gmn-1	176651
M151.2	26838 Putative ortholog of C. elegans M151.3 gene product M151.2	0.237	0.178502018	20	1.326176695	0.2	chrII	3631110	3636024	4915	+	WBGene00019794		187479
F29D11.1	24563 Low density lipoprotein receptor-related protein (LRP); gp330/megalin-related protein; member of EGF-like repeat protein family, has strong similarity to human low density lipoprotein receptor-related proteins lrp-1/LRP/F29D11.1	0.237	0.186557781	20	1.268886034	0.219	chrI	7614176	7634143	19968	+	WBGene00003071	lrp-1	172520
W08D2.5	22523 Member of the E1-E2 (P-type) ATPase and haloacid dehalogenase or epoxide hydrolase families, has weak similarity to S. cerevisiae Spf1p, which is a putative Ca2+-transporting ATPase W08D2.5	0.237	0.254714084	20	0.929278936	0.364	chrIV	9817411	9824580	7170	-	WBGene00012341	catp-6	177822
T27C5.2	50846 Putative G protein-coupled receptor, no homolog found in human or D. melanogaster T27C5.2	0.236	0.21475037	17	1.100804834	0.286	chrV	17400121	17401561	1441	-	WBGene00005944	srx-53	188981
F25F8.2	30490 Avermectin-sensitive glutamate-gated chloride channel GluCl-beta subunit F25F8.2	0.236	0.074048658	20	3.190740099	0.005	chrI	4885041	4888002	2962	-	WBGene00001592	glc-2	172103
T05H4.12	49873 Protein of unknown function T05H4.12	0.236	0.141704375	20	1.666930631	0.111	chrV	6426130	6427333	1204	-	WBGene00020275	atp-4	179025
F54D1.5	26570 Member of the ion transport family, which include calcium, sodium, and potassium channels, has low similarity to transient receptor potential channel (human TRPM7), which is a ligand-gated cation channel F54D1.5	0.236	0.198588618	19	1.189082859	0.249	chrIV	11273483	11281986	8504	+	WBGene00001796	gtl-2	178036
F20G4.1	21779 Protein of unknown function F20G4.1	0.236	0.15716615	20	1.501980538	0.149	chrI	7918439	7926488	8050	-	WBGene00008990	smgl-1	172561
F33D11.2	24634 Protein of unknown function, has moderate similarity to uncharacterized C. elegans T09A12.1 F33D11.2	0.236	0.158925451	19	1.485236225	0.154	chrI	5847477	5849424	1948	+	WBGene00018001		185225
C15B12.4	22961 Protein with weak similarity to C. elegans H02F09.3 gene product C15B12.4	0.236	0.080951908	20	2.914549123	0.009	chrX	6470366	6473748	3383	-	WBGene00015786		180920
K08G2.7	22087 Protein containing a DUF216 domain of unknown function, has low similarity to uncharacterized C. elegans C08F11.9 K08G2.7	0.236	0.232992011	19	1.010856243	0.325	chrV	15861452	15862699	1248	-	WBGene00010688	srz-12	187173
R08C7.5	26956 Protein with weak similarity to C. elegans ICP-1, which is involved in meiosis and cytokinesis R08C7.5/icp-2	0.235	0.079706465	20	2.95311096	0.008	chrIV	4430229	4432394	2166	+	WBGene00019949		177207
C18E9.6	21505 Protein of unknown function, has high similarity to uncharacterized human TOMM40 C18E9.6	0.235	0.213516994	20	1.102192348	0.283	chrII	8971965	8973566	1602	-	WBGene00007686	tomm-40	174431
M01G12.13	28923 Member of the 7-transmembrane chemoreceptor family of G protein-coupled receptors (GPCR), has very strong similarity to uncharacterized C. elegans M01G12.1 M01G12.13	0.235	0.208605702	20	1.127988158	0.273	chrI	12140560	12142757	2198	+	WBGene00005525	sri-13	187388
F49F1.3	31391 Protein of unknown function F49F1.3	0.235	0.228334135	17	1.030288352	0.317	chrIV	4114833	4114991	159	+	WBGene00018644		NA
ZK856.7	31935 Protein of unknown function ZK856.7	0.235	0.15858376	20	1.482010737	0.154	chrV	10201856	10202610	755	+	WBGene00014108		179416
F54F2.5	52620 Protein containing four C2H2 type zinc finger domains, which bind nucleic acids F54F2.5	0.235	0.135794451	20	1.730572665	0.099	chrIII	8787089	8792351	5263	-	WBGene00018833	ztf-1	176236
F16F9.2	27124 Protein of unknown function, has a region of weak similarity to a region of nascent-polypeptide-associated complex alpha subunit (mouse Naca), which binds JUN and enhances JUN-mediated transcription and functions in myogenesis F16F9.2	0.235	0.111048034	20	2.114861304	0.047	chrX	8450381	8455640	5260	-	WBGene00001068	dpy-6	181099
M7.12	28907 Protein of unknown function, has high similarity to uncharacterized C. elegans M7.8 M7.12	0.235	0.21864869	20	1.073459429	0.296	chrIV	11096717	11097982	1266	-	WBGene00010887		187458
Y6B3B.7	52556 Protein of unknown function Y6B3B.7	0.235	0.152405987	18	1.54003136	0.141	chrI	13746604	13750500	3897	+	WBGene00012391		189369
C18B10.9	51279	0.235	0.33259234	20	0.705560981	0.489	chrV	7473299	7475013	1715	-	WBGene00006095	str-29	NA
M01F1.4	26794 Protein has similarity to human CG2 gene identified in the Familial dysautonomia candidate region on 9q31 M01F1.4	0.235	0.217495612	20	1.078383201	0.294	chrIII	3505643	3510033	4391	-	WBGene00010810		175457
K10D11.1	28890 Member of an uncharacterized protein family K10D11.1	0.235	0.178120897	20	1.316535527	0.203	chrIV	12976231	12978343	2113	+	WBGene00010745	dod-17	187266
C26F1.9	51156 Protein with high similarity to ribosomal protein L39 (S. cerevisiae Rpl39p), which is a structural ribosomal protein, contains a ribosomal L39 domain, which are present in the large ribosomal subunit C26F1.9/5I256	0.234	0.290437267	18	0.806964279	0.43	chrV	7762675	7776091	13417	-	WBGene00004453	rpl-39	179153
R134.2	22181 Putative guanylyl cyclase gcy-2/R134.2	0.234	0.069935606	20	3.350771021	0.003	chrII	9507602	9512095	4494	-	WBGene00001529	gcy-2	191640
F55H12.3	26653 Protein containing nine epidermal growth factor-like, three sushi or short consensus repeat, low-density lipoprotein receptor class A, C-type lectin, and hyalin repeat domains, has a region of weak similarity to a region of mouse Notch2 F55H12.3	0.234	0.187730769	20	1.248011463	0.226	chrI	8876319	8893084	16766	+	WBGene00010134		172702
D1044.4	32054 Protein of unknown function D1044.4	0.234	0.183698801	19	1.274185381	0.218	chrIII	5521719	5522030	312	-	WBGene00017029		183906
M28.5	50541 Putative component of the U4/U6.U5 snRNP complex, putative ortholog of S. cerevisiae Snu13p, member of the ribosomal L7Ae protein family Snu13ce/M28.5	0.234	0.115292172	20	2.029775337	0.056	chrII	10658008	10658626	619	-	WBGene00010896		174645
K08E3.7	30643 Protein with low similarity to Parkinson disease (autosomal recessive, juvenile) 2 (human PARK2), which is a ubiquitin-protein ligase that functions to ubiquinate human SNCA, human SNCAIP, and human PNUTL1, and is associated with juvenile Parkinsonism K08E3.7/Parkin	0.234	0.199526839	20	1.172648176	0.255	chrIII	13771448	13773348	1901	+	WBGene00003967	pdr-1	176816
C24A1.1	50018 Protein of unknown function C24A1.1	0.234	0.092001544	20	2.542313348	0.019	chrIII	725022	726159	1138	+	WBGene00016028	flp-24	182824
C04E6.8	30893 Protein of unknown function C04E6.8	0.234	0.213951515	20	1.093183208	0.287	chrV	5882563	5883835	1273	-	WBGene00015424		182203
R09D1.5	21365 Member of the glycosyl hydrolase 18 family, has weak similarity to chitinase 3-like 3 (mouse Chi3l3), which is a lectin with chitinase activity that plays roles in chemotaxis and the response to infection with chitin-bearing microorganisms R09D1.5	0.234	0.330481613	18	0.706847191	0.489	chrII	9448273	9449726	1454	+	WBGene00011161	chil-18	187735
C01B10.7	30841 Protein with moderate similarity to C. elegans K02E11.6 gene product C01B10.7	0.234	0.303132887	19	0.770472507	0.45	chrIV	6638556	6639298	743	+	WBGene00015281		182060
C09H5.3	27015 Member of the 7-transmembrane chemoreceptor family of G protein-coupled receptors (GPCR), has low similarity to C. elegans ODR-10, which is a G protein-coupled receptor involved in odorant response C09H5.3	0.233	0.184432192	20	1.265735193	0.22	chrV	8065780	8067900	2121	-	WBGene00006188	str-140	192012
R11G11.3	51596 Predicted member of the serpin superfamily according to sequence similarity R11G11.3	0.233	0.33805203	18	0.690400908	0.499	chrV	530799	531819	1021	+	WBGene00020013		187823
F35C8.7	24664 Protein has significant similarity to choline transporter-like proteins from human, Drosophila and rat F35C8.7	0.233	0.280254538	20	0.832771867	0.415	chrX	5355638	5364322	8685	-	WBGene00018037	chtl-1	180809
T27C4.4	25718 Required for normal posterior morphology, has strong similarity to human metastasis-associated protein MTA1 (Hs.101448, isolated from malignant melanoma cells) lin-40/let-432/egr-1/T27C4.4	0.233	0.194427628	20	1.200261875	0.244	chrV	3704988	3712796	7809	+	WBGene00003025	lin-40	178788
F57H12.5	26747 Member of the protein-tyrosine phosphatase family, which are involved in control of cell growth, proliferation, differentiation and transformation, has strong similarity to uncharacterized C. elegans C07E3.4 F57H12.5	0.233	0.15880853	19	1.468910451	0.158	chrIV	7967348	7969600	2253	+	WBGene00019020		177592
C50E3.1	31993 Protein of unknown function, has moderate similarity to uncharacterized C. elegans C50E3.3 C50E3.1	0.233	0.273861292	20	0.851731456	0.404	chrV	7610370	7611905	1536	+	WBGene00016813	clec-214	183653
W06D12.4	29484 Member of the 7-transmembrane chemoreceptor family of G-protein coupled receptors (GPCR), has low similarity to C. elegans ODR-10, which is a G protein-coupled receptor involved in odorant response W06D12.4	0.233	0.244149907	20	0.954954516	0.351	chrV	17718947	17721293	2347	+	WBGene00006137	str-77	189247
F58E1.7	30589 Protein of unknown function, has strong similarity to C. elegans K07G6.A F58E1.7	0.233	0.155932371	20	1.494625499	0.151	chrII	1677449	1678975	1527	-	WBGene00019038	irld-37	186512
C08B11.3	20889 Member of the ARID DNA binding domain protein family C08B11.3	0.233	0.254032451	27	0.917339269	0.367	chrII	8022632	8027762	5131	-	WBGene00007433	swsn-7	174286
R04B5.7	30223 Protein of unknown function R04B5.7	0.233	0.327271477	20	0.71181059	0.485	chrV	10089157	10090561	1405	-	WBGene00011005		187568
T28H11.3	29423 Member of the 7-transmembrane chemoreceptor family of G-protein coupled receptors (GPCR), has moderate similarity to uncharacterized C. elegans T28H11.2 T28H11.3	0.233	0.126500459	20	1.841422567	0.08	chrIV	5008678	5010789	2112	+	WBGene00005639	srm-2	191956
F17B5.2	21082 Protein containing a C-type lectin domain and a DUF33 domain of unknown function, has high similarity to uncharacterized C. elegans F37C4.2 F17B5.2	0.233	0.285076988	26	0.81639572	0.422	chrI	13191983	13194645	2663	-	WBGene00008906	oac-17	184612
C29G2.6	53263 Protein with moderate similarity to C. elegans F07F6.5 gene product C29G2.6	0.233	0.077722842	20	2.992112921	0.007	chrV	2582867	2585908	3042	-	WBGene00016234		183035
F19F10.7	32170 Protein of unknown function F19F10.7	0.233	0.411958344	19	0.564462768	0.579	chrV	7566232	7570390	4159	-	WBGene00017603	clec-212	184689
B0303.9	22755 Member of the Sec1 family, which may be involved in secretion, has low similarity to vacuolar sorting protein 33a (rat Vps33a) slp-1/B0303.9	0.233	0.197937096	18	1.17466852	0.255	chrIII	8700927	8703341	2415	+	WBGene00015130	vps-33.1	176221
K07G5.4	29589 Protein of unknown function K07G5.4	0.232	0.136636552	20	1.700927536	0.104	chrI	7166918	7169089	2172	-	WBGene00010643		187122
W09C5.6	50693 Member of the ribosomal protein L31 family W09C5.6	0.232	0.179701579	20	1.292750507	0.211	chrI	13652933	13653711	779	-	WBGene00004445	rpl-31	173235
F44C8.7	30541 Protein with moderate similarity to solute carrier family 35 member 3 (UDP-N-acetylglucosamine(UDP-GlcNAc) transporter, human SLC35A3), which transports nucleotide sugars F44C8.7	0.232	0.208792314	19	1.111749338	0.28	chrV	2215652	2218160	2509	+	WBGene00018414	nstp-8	178698
W08A12.2	50290 Protein of unknown function W08A12.2	0.232	0.132817144	42	1.743691711	0.089	chrV	3684662	3685830	1169	-	WBGene00021079		178786
F58E10.2	52979 GATA transcription factor expressed in zygotes and required for development of the gut end-1/F58E10.2	0.232	0.143426027	20	1.614374287	0.122	chrV	13985137	13987072	1936	+	WBGene00001310	end-1	179893
F14H12.2	28199 Protein of unknown function, has moderate similarity to C. elegans F14D2.7 F14H12.2	0.231	0.224080902	20	1.033024011	0.314	chrX	4350498	4352744	2247	+	WBGene00017470		184502
C33G3.5	20958 Protein of unknown function, has low similarity to uncharacterized C. elegans F18E9.7 C33G3.5	0.231	0.21825529	26	1.060238209	0.299	chrX	14076237	14078674	2438	-	WBGene00007905		183169
Y17G7A.2	33848	0.231	0.096687668	19	2.392165019	0.027	chrII	11925411	11925486	76	+	WBGene00195411		NA
M03F8.2	48573 Protein containing one uncharacterized domain DUF6 M03F8.2	0.231	0.121073113	20	1.90980717	0.071	chrV	5943472	5951417	7946	+	WBGene00004206	pst-1	178980
B0524.5	48100 Protein of unknown function, contains similarity to mouse transcription regulator (GB:L35307) B0524.5	0.231	0.122425132	20	1.888219129	0.074	chrIII	1891383	1893890	2508	-	WBGene00015244		175333
F14H8.5	28198	0.231	0.230516268	20	1.00272759	0.328	chrV	15021032	15022049	1018	+	WBGene00008835		184500
T23H2.2	29357 Protein containing two C2 domains, has moderate similarity to synaptotagmin 4 (rat Syt4), which regulates the kinetics of fusion pore opening during neurotransmitter release and serves in brain development and synaptic plasticity T23H2.2	0.231	0.123600022	19	1.868681281	0.077	chrI	6436058	6441192	5135	+	WBGene00004924	snt-4	172346
R07B1.8	22142 Protein with weak similarity to C. elegans rab-8 gene product R07B1.8	0.231	0.216467317	20	1.065687807	0.299	chrX	9870712	9872654	1943	-	WBGene00001608		187649
C39E9.6	50766 Member of the SCP-like extracellular protein family, has high similarity to uncharacterized C. elegans C39E9.5 C39E9.6	0.231	0.150611406	20	1.531653747	0.141	chrIV	13071745	13072519	775	+	WBGene00008030	scl-8	183345
M01G12.14	21323 Protein of unknown function, has moderate similarity to uncharacterized C. elegans Y47H10A.4 M01G12.14	0.231	0.090389581	19	2.551653142	0.019	chrI	12107044	12108503	1460	-	WBGene00010825		173093
ZC477.2	27665 Member of the serine/threonine protein phosphatase protein family ZC477.2	0.231	0.150673729	20	1.530702733	0.142	chrIV	7108193	7109940	1748	+	WBGene00022617		177485
F21F3.2	24384 Protein containing a protein kinase domain, has low similarity to S. cerevisiae Rim11p, which is required for induction of IME2 by Ime1p F21F3.2	0.231	0.206850683	20	1.11490015	0.278	chrI	4903437	4905173	1737	+	WBGene00017672		172107
C42D4.11	23758 Protein containing a C-type lectin domain, which mediate calcium-dependent carbohydrate recognition, has high similarity to uncharacterized C. elegans Y116A8A.8 C42D4.11	0.231	0.349904242	19	0.658997271	0.518	chrIV	7183412	7184697	1286	-	WBGene00016597	clec-179	183404
T04A8.3	25268 Member of the C-type lectin family T04A8.3	0.23	0.175188292	19	1.315686423	0.204	chrIII	4682774	4685533	2760	-	WBGene00011405	clec-155	NA
R07E5.2	48658 Member of the thiol antioxidant (thioredoxin peroxidase) protein family R07E5.2	0.23	0.145624687	20	1.581212914	0.13	chrIII	4407444	4408437	994	+	WBGene00011110	prdx-3	175573
K07A12.2	26195 Protein containing 14 leucine rich repeats, which mediate protein-protein interactions, has a region of low similarity to a region of C. elegans SYM-1, which is required for attachment of body muscle to cuticle in the absence of C. elegans MEC-8 K07A12.2	0.23	0.40723903	20	0.565312238	0.578	chrI	8676622	8681334	4713	-	WBGene00010621	egg-6	172670
K08F4.2	21297 Protein containing a nuclear transport factor 2 (NTF2) domain, which facilitate protein transport into the nucleus, and an RNA recognition motif (RRM, RBD, or RNP) K08F4.2	0.23	0.32950886	19	0.698218091	0.493	chrIV	10126749	10128956	2208	-	WBGene00010677	gtbp-1	177880
F35E12.3	28413 Protein containing a DUF38 domain of unknown function, has low similarity to C. elegans T07D3.1, which may function in germ-line stem cell differentiation F35E12.3	0.23	0.185250122	20	1.240676636	0.229	chrV	13725874	13727014	1141	+	WBGene00009427	fbxa-181	185305
C14B1.2	31002 Protein of unknown function C14B1.2	0.23	0.171896196	20	1.337030234	0.196	chrIII	3701929	3703172	1244	+	WBGene00007573		175473
T03F7.2	31653 Member of the 7-transmembrane chemoreceptor family of G-protein coupled receptors (GPCR), has moderate similarity to uncharacterized C. elegans T03F7.4 T03F7.2	0.23	0.279381929	18	0.822172003	0.422	chrV	11303651	11304979	1329	-	WBGene00005268	srh-45	188024
T25B6.2	27337 Member of the M13 peptidase family of zinc metalloproteases, has low similarity to endothelin-converting enzyme 1 (human ECE1), which is a zinc metalloprotease that generates endothelin vasoconstrictors and is associated with developmental defects T25B6.2	0.23	0.145564218	19	1.577401845	0.131	chrX	9034554	9038547	3994	+	WBGene00020788	nep-22	181144
C03G6.13	22840 Protein containing a DUF18 domain of unknown function C03G6.13	0.23	0.273569209	19	0.839208601	0.412	chrV	7354435	7355510	1076	-	WBGene00015398	tag-293	182175
M01A12.1	26778 Member of the protein-tyrosine phosphatase family, contains two collagen triple helix repeats, which are found in some extracellular proteins, has a region of high similarity to a region of procollagen type VI alpha 2 subunit (mouse Col6a2) M01A12.1	0.229	0.104312068	20	2.196466526	0.04	chrI	5644610	5646411	1802	+	WBGene00000630	col-53	172222
T07A9.7	49106 Member of the G protein alpha subunit family gpa-4/T07A9.7	0.229	0.214828251	20	1.066497276	0.299	chrIV	401695	405346	3652	+	WBGene00001666	gpa-4	176865
D1069.4	28128 Protein of unknown function, has moderate similarity to uncharacterized C. elegans Y48A6B.1 D1069.4	0.229	0.133708647	20	1.713262649	0.102	chrII	348173	357069	8897	-	WBGene00017038	dmsr-4	183924
F47G6.3	30551 Protein of unknown function F47G6.3	0.229	0.06814319	20	3.360904131	0.003	chrI	1465597	1469593	3997	+	WBGene00018580		171713
W01A8.4	53093 Protein of unknown function W01A8.4	0.229	0.121131157	20	1.890427897	0.073	chrI	7067916	7069188	1273	-	WBGene00012166	nuo-6	172438
F20E11.8	30196 Member of the 7-transmembrane chemoreceptor family of G protein-coupled receptors (GPCR), has high similarity to uncharacterized C. elegans F40D4.3 F20E11.8	0.229	0.257034092	19	0.889922271	0.385	chrV	17448332	17449590	1259	+	WBGene00005373	srh-157	NA
W07A8.1	25849 Protein of unknown function, has high similarity to uncharacterized C. elegans F56D5.10 W07A8.1	0.229	0.147068767	19	1.555242188	0.136	chrV	20732087	20733206	1120	+	WBGene00012318	srxa-1	189271
ZK1037.11	30063 Protein containing a DUF216 domain of unknown function ZK1037.11	0.229	0.260887668	20	0.876687631	0.391	chrV	15307558	15309098	1541	-	WBGene00014195	srz-10	191505
F28C6.4	21124 Protein with low similarity to S. cerevisiae Las21p, which is required for addition of a side chain to the glycosylphosphatidylinositol (GPI) core structure F28C6.4	0.229	0.109756268	26	2.082272514	0.047	chrII	8596275	8600265	3991	-	WBGene00009204	pigg-1	174377
F20D12.6	51614 Homeodomain transcription factor, has similarity over the homeodomain to many human and D. melanogaster homeodomain transcription factors ceh-19/pceh16-1/F20D12.6	0.228	0.166745618	19	1.37026926	0.187	chrIV	7953500	7955949	2450	-	WBGene00000442	ceh-19	177590
F17A2.8	28222 Protein of unknown function, has high similarity to uncharacterized C. elegans R04D3.9 F17A2.8	0.228	0.288608018	18	0.791655811	0.439	chrX	12338440	12340248	1809	+	WBGene00005122	srd-44	184604
F41G4.5	24824 Putative ortholog of C. elegans ZC15.1 gene product F41G4.5	0.228	0.171310345	19	1.333578441	0.198	chrX	16829493	16832740	3248	-	WBGene00018309		185636
C09H10.4	51953 Protein of unknown function C09H10.4	0.228	0.241514018	18	0.945700802	0.357	chrII	11100141	11100500	360	+	WBGene00043120		13187006
C17G10.3	51350	0.228	0.092535512	20	2.46767905	0.023	chrII	5583036	5584754	1719	+	WBGene00015917		182742
F18E3.2	28242 Protein of unknown function, has low similarity to uncharacterized C. elegans H27D07.4 F18E3.2	0.228	0.243010621	20	0.939605842	0.359	chrV	7417660	7419828	2169	+	WBGene00005814	srw-67	184639
C06B3.10	23411 Member of the 7-transmembrane chemoreceptor family of G protein-coupled receptors (GPCR), has low similarity to C. elegans ODR-10, which is a G protein-coupled receptor involved in odorant response C06B3.10	0.228	0.101103578	20	2.258270869	0.035	chrV	13918641	13920032	1392	+	WBGene00006277	str-250	182295
K03B4.6	28821 Protein with strong similarity to C. elegans F14H3.9 gene product K03B4.6	0.228	0.251584266	19	0.907189856	0.376	chrV	4675602	4676192	591	-	WBGene00019356		186921
ZK795.2	31918 Protein of unknown function ZK795.2	0.228	0.074084735	19	3.077364231	0.006	chrIV	12557072	12558975	1904	-	WBGene00014082		178206
Y116A8C.7	53504 Protein of unknown function, has weak similarity to C. elegans Y116A8A.T Y116A8C.7	0.228	0.31168427	19	0.731365436	0.473	chrIV	16928334	16929067	734	+	WBGene00014976		NA
Y69H2.3	53553 Predicted protein with no known information Y69H2.3	0.228	0.190852146	20	1.194096541	0.246	chrV	18656094	18664116	8023	-	WBGene00013481		180221
F59D6.3	26024 Putative aspartyl protease, has similarity to human and S. cerevisiae aspartyl proteases, putative paralog of C. elegans F59D6.2 F59D6.3	0.228	0.113707531	20	2.004133431	0.059	chrV	3024520	3027931	3412	+	WBGene00019105	asp-8	178750
F48C1.5	31373 Protein of unknown function F48C1.5	0.228	0.156525932	20	1.455730874	0.161	chrI	5317491	5318126	636	-	WBGene00018598		185975
C07G3.7	23442 Protein containing a DUF40 domain of unknown function, which contain four conserved cysteines, has high similarity to uncharacterized C. elegans Y113G7B.9 C07G3.7	0.228	0.418207975	19	0.544649212	0.592	chrV	3491361	3492598	1238	-	WBGene00015575	srbc-35	NA
F38A1.10	30518 Member of the phospholipase A2 receptor protein family and the C-type lectin family, putative paralog of C. elegans F38A1.5 F38A1.10	0.228	0.163566579	19	1.392461747	0.18	chrIV	1245399	1246886	1488	-	WBGene00009523	clec-165	185440
B0285.7	23284 Member of the M1 peptidase family of aminopeptidases B0285.7	0.227	0.133771	19	1.700471777	0.105	chrIII	4356539	4364979	8441	+	WBGene00007139	mnp-1	175564
H04M03.4	50753	0.227	0.098067418	20	2.31915397	0.031	chrIV	5885835	5889821	3987	+	WBGene00019154	glf-1	177358
F55G11.6	30575 Member of an uncharacterized protein family F55G11.6	0.227	0.15998391	20	1.421150765	0.171	chrIV	12958030	12959642	1613	+	WBGene00010126		186339
C16C8.5	48765 Member of the ubiquitin family C16C8.5	0.227	0.166753013	19	1.363387538	0.189	chrII	3444670	3445385	716	-	WBGene00015843		182672
F54H5.3	26606 Protein containing a major sperm protein (MSP) domain, which are involved in sperm motility F54H5.3	0.227	0.147093246	19	1.545423977	0.139	chrII	6622186	6623501	1316	+	WBGene00018840		186264
R13D7.3	27315 Member of the 7-transmembrane chemoreceptor family of G-protein coupled receptors (GPCR), has low similarity to C. elegans ODR-10, which is involved in odorant response R13D7.3	0.227	0.239856676	20	0.947479599	0.355	chrV	7402655	7403910	1256	+	WBGene00005601	srj-13	191935
ZK1037.7	22607 G protein-coupled receptor of unknown function, no homolog found in human or D. melanogaster ZK1037.7	0.227	0.31176442	18	0.728923781	0.475	chrV	15328656	15330064	1409	+	WBGene00005817	srw-70	NA
D2062.5	32075 Protein of unknown function, has high similarity to uncharacterized C. elegans D2062.4 D2062.5	0.227	0.239225209	20	0.949696041	0.354	chrII	2622780	2623767	988	+	WBGene00017057		183955
T27C10.6	29918 Protein containing five ankyrin (Ank) repeats, which may mediate protein-protein interactions T27C10.6	0.227	0.116034262	20	1.95781758	0.064	chrI	10879769	10894239	14471	-	WBGene00003068	lrk-1	172995
F37D6.1	21890	0.227	0.179065385	20	1.268474839	0.219	chrI	10479249	10484969	5721	-	WBGene00009507	mus-101	172929
T04A11.7	29131 Protein containing a DUF215 domain of unknown function, has high similarity to uncharacterized C. elegans T04A11.9 T04A11.7	0.227	0.277937551	19	0.816715544	0.424	chrIV	12496065	12497844	1780	+	WBGene00005683	sru-20	188045
T05A8.4	29150 Member of the M13 peptidase family of zinc metalloproteases, has moderate similarity to mel transforming oncogene-like 1 (soluble secreted endopeptidase, mouse Mell1), which is a type II membrane bound metalloprotease that has an alternative secreted form T05A8.4	0.227	0.120330186	20	1.88572404	0.074	chrII	2716555	2725752	9198	-	WBGene00020230	nep-2	188090
C50E3.9	30186 Protein of unknown function, has low similarity to uncharacterized C. elegans C50E3.7 C50E3.9	0.227	0.339491416	18	0.667970813	0.513	chrV	7598994	7600249	1256	-	WBGene00016820		183661
ZC132.2	52255 Protein with strong similarity to C. elegans T02B11.4 gene product ZC132.2	0.227	0.172480905	20	1.314209719	0.204	chrV	4300626	4311784	11159	+	WBGene00022521		NA
M03C11.6	49024 Protein of unknown function M03C11.6	0.227	0.127894712	20	1.771705587	0.092	chrIII	10421781	10424022	2242	-	WBGene00010843		187420
C03A3.3	30413 Member of the metallo-beta-lactamase family C03A3.3	0.227	0.138559522	18	1.634846653	0.119	chrX	11267321	11269070	1750	-	WBGene00007268		182131
R09H3.1	26982 Protein of unknown function, has moderate similarity to uncharacterized C. elegans C38D9.3 R09H3.1	0.227	0.335132422	18	0.675894872	0.508	chrX	1659624	1662891	3268	-	WBGene00019990		NA
R12G8.2	22179 Member of the potassium channel TWK-13 protein family R12G8.2	0.226	0.145081556	20	1.561106571	0.134	chrV	17743651	17747059	3409	-	WBGene00006688	twk-36	180164
R08E3.1	26959 Protein with weak similarity to C. elegans lin-12 (Notch family member) R08E3.1	0.226	0.359082943	20	0.630673726	0.535	chrX	4822647	4834905	12259	+	WBGene00019957		180758
T06E6.11	29173 Protein containing a DUF40 domain of unknown function, which contain four conserved cysteines, has high similarity to uncharacterized C. elegans T19C9.1 T06E6.11	0.226	0.269708062	20	0.838247626	0.412	chrV	15411433	15412725	1293	-	WBGene00011541	srbc-63	188190
ZC513.7	49973 Protein of unknown function ZC513.7	0.226	0.119457999	20	1.892450005	0.073	chrV	8039469	8040387	919	-	WBGene00023209		NA
T19A5.5	27329 Protein containing a nuclear hormone receptor ligand-binding domain and a nuclear hormone receptor C4-type zinc finger domain, which bind DNA and may be involved in regulation of transcription, has low similarity to C. elegans NHR-58 T19A5.5	0.226	0.11778669	20	1.918857802	0.069	chrV	8964662	8966186	1525	-	WBGene00020555	nhr-219	3565145
Y39F10A.1	49411 Protein of unknown function Y39F10A.1/Y39F10A.B	0.226	0.075316703	20	2.998545822	0.007	chrII	775333	776780	1448	+	WBGene00021452		173464
T25B9.2	22458 Serine/threonine protein phosphatase T25B9.2	0.226	0.167223587	20	1.350500263	0.192	chrIV	10750463	10751840	1378	-	WBGene00012008		188880
F58A3.4	32452 Protein containing a major sperm protein (MSP) domain, which are involved in sperm motility, has moderate similarity to uncharacterized C. elegans T13F2.12 F58A3.4	0.226	0.21536582	20	1.048473759	0.307	chrX	11009512	11010975	1464	-	WBGene00010224		186483
B0205.4	27391 Member of the glycosyl transferase family 11, which hydrolyze the glycosidic bond between two or more carbohydrates, has a region of low similarity to a region of fucosyltransferase 2 (rat Fut2), which controls soluble blood group antigen synthesis B0205.4	0.225	0.096427171	20	2.337583892	0.03	chrI	10741368	10744445	3078	-	WBGene00015019		172980
